time_s,hombro_fe_X,hombro_fe_Y,codo_fe_X,codo_fe_Y,muneca_fe_X,muneca_fe_Y
0.360000,58.1561944664,3.7465280569,35.6374450566,2.4145509102,19.8486009400,2.0924182929
0.370000,55.0399652878,3.6175018987,34.9702774793,2.4265615427,19.5965096990,2.1616235523
0.380000,54.5719822831,3.4288334654,35.1111463236,2.1573392344,19.8320680332,1.8155119271
0.390000,57.8128536997,3.4698297216,34.0444757388,2.4212387863,19.9786286229,2.0377044372
0.400000,60.7732374055,3.6541881394,34.0112493263,2.3333891350,19.9435894031,1.7175623367
0.410000,58.6570846690,3.3902914480,33.5754770970,2.3899598426,20.0422760397,1.7922400116
0.420000,55.4071491842,3.3436611749,33.0082720167,2.4002542877,20.0391578128,1.7926085765
0.430000,53.2874290864,3.2593321433,32.6586852861,2.3574459768,19.8592377764,1.7698849900
0.440000,53.9365006021,3.2152727641,32.4922240700,2.3515031646,19.4325199679,1.6238312186
0.450000,57.3122701634,3.2270671963,31.8283874412,2.0337116566,19.2608418713,1.7395402740
0.460000,57.9644309183,3.2639742631,31.5224578572,2.0605057002,19.3962770209,1.6679240093
0.470000,55.3848169644,3.0360506702,30.7223923573,2.0603940049,18.8491452614,1.6107852476
0.480000,51.0353494889,3.0921762622,30.0994950581,2.3637052406,19.0735271210,1.7405909195
0.490000,50.2353076365,2.9790751995,29.9629799996,2.0110768255,19.1989257534,1.5756888077
0.500000,52.3733255215,2.8614713770,29.1646085592,2.1857478691,18.6114801420,1.6576606017
0.510000,55.4839813094,2.8678609069,28.6622612769,2.0629070933,18.3420030860,1.5035353531
0.520000,53.9754001555,2.9717937052,28.1463229104,2.1669366590,17.9887735696,1.4922872291
0.530000,49.5125322200,2.7932482314,27.7239985567,2.1009214188,17.8385692842,1.4978239217
0.540000,47.2495340655,2.7197949086,27.5416202571,2.0650490516,17.8125309267,1.3519986498
0.550000,47.4507343940,2.6400990745,26.7165462887,2.0498129153,17.5116292164,1.3669816353
0.560000,49.8483227814,2.8141445629,26.2097249292,1.8299039752,17.0832153806,1.4453281476
0.570000,51.6334539897,2.3471171479,25.6221870320,1.8532021130,16.9157732081,1.5400920459
0.580000,48.2622237497,2.5725717961,24.9418931363,2.1914827885,16.3798386685,1.4151234758
0.590000,44.3537080454,2.5363041879,24.2420574871,2.0415246834,16.2584537055,1.5863914102
0.600000,42.9990538362,2.4158774098,24.2896700147,1.8882986897,15.8675756407,1.2306371380
0.610000,44.7324877950,2.6573556791,23.7262402382,2.1226226629,15.9328447438,1.2829949031
0.620000,46.9508107421,2.4750986233,22.8400552865,2.1445712447,15.0978297469,1.1471723809
0.630000,45.9597244858,2.6370506953,22.1988423290,2.0211891047,14.8983770019,1.2786968909
0.640000,41.6078731366,2.5488833480,21.8623804658,1.9927489011,14.7142620307,1.3873003054
0.650000,37.8149956077,2.4159829562,21.2777046951,2.1840884609,14.3262243854,1.3835298607
0.660000,38.4035089920,2.4969526009,20.1268627574,2.1250299230,13.8876598211,1.3131068437
0.670000,40.7674217392,2.2715138733,19.9248236882,2.2978565054,13.7815723590,1.2173807230
0.680000,42.3845670670,2.6925763232,19.6961646697,2.1248076448,13.3346830512,1.2430209578
0.690000,39.4202788671,2.4895669982,18.8099781985,2.3135110908,12.4533923707,1.1149461699
0.700000,35.7521809633,2.6486918354,18.9832125531,2.0882753991,12.3441659327,1.3112356216
0.710000,32.8174619013,2.4980244607,17.7716082167,2.1761177411,11.8173683157,0.9745631509
0.720000,34.8731527834,2.4866202895,17.9397052614,2.1237561232,11.7078984344,1.1464484024
0.730000,37.0946055086,2.2956926995,17.6385573300,2.2280970550,11.1129640355,1.2075308235
0.740000,36.8764673364,2.5706405156,17.2767780994,2.2529166466,10.8402334414,1.2432150748
0.750000,33.5855659699,2.7389931435,16.4787350754,2.2358725990,10.6498168602,1.2634001441
0.760000,29.2435963928,2.8005173360,16.2524532488,2.2355766524,9.9358099397,1.2412934931
0.770000,28.8664236980,2.6751754920,15.5942471277,2.4085192168,9.8196006684,1.2578962118
0.780000,32.3887468447,2.8088578582,15.2536237796,2.2310311113,9.5198882484,1.3439477494
0.790000,33.5228387408,2.7527322279,14.9654523280,2.4775268052,9.1631606090,1.3224495411
0.800000,30.9274792589,2.8748819112,14.3476649717,2.4289756443,8.4698269951,1.2670035654
0.810000,27.2766788607,2.8915605190,14.5193016869,2.5409446528,8.6191979856,1.1542832255
0.820000,24.3275031089,2.7989160833,13.8560687064,2.5720446211,8.1430836901,1.2745966824
0.830000,26.0585779473,2.9259756038,13.8543571616,2.4770821741,7.6851627394,1.4563967227
0.840000,29.5366962562,2.9853054495,13.8865638468,2.9727600392,7.3933625272,1.3169101430
0.850000,29.1509866799,2.7657338746,13.3276607739,2.7546497467,7.2024807638,1.4931994106
0.860000,26.4387808760,3.4436326843,13.7306076051,2.6841816419,6.6484166236,1.2752984559
0.870000,22.1523682781,2.9951541446,12.8095724123,2.9337843661,6.6810284161,1.6680910858
0.880000,22.1206081345,3.2591216176,12.9776828251,2.8874032326,6.1832323351,1.3890492202
0.890000,25.3382715484,3.3654124043,12.8868817345,2.7168856797,6.2455347256,1.3947528221
0.900000,27.1144877271,3.2289204192,13.1430792511,3.1030618649,5.4445354706,1.4465603792
0.910000,25.8257346968,3.2903662354,12.7309963707,2.6616437225,5.7168334444,1.5324916036
0.920000,21.8996403335,3.5830156770,13.2340200100,3.0015612714,5.1064067580,1.5709264168
0.930000,19.7095682841,3.5368913830,13.2435558051,3.0986162898,5.3785802382,1.7107627742
0.940000,20.6928136510,3.6747557957,12.9600073051,3.1803575675,4.8965704452,1.5704540297
0.950000,24.8386477122,3.5516570141,13.2117869177,3.1031703823,4.5378794956,1.6406006775
0.960000,25.4852771374,3.5479844270,12.9980580399,3.2026050986,4.4131044005,1.7699030947
0.970000,23.1828706503,3.7751756146,13.1701709873,3.1974038335,4.6527073395,1.6966457761
0.980000,19.7239460885,3.7752657877,13.6656893727,3.2431622522,4.0448432769,1.6272662266
0.990000,19.3780259103,4.0721219852,13.9164482250,3.3706285592,4.3323548793,1.9234128307
1.000000,21.8176880115,3.8193019529,14.5114367868,3.4649855693,4.0952479349,1.7846717207
1.010000,24.5330204058,3.9434830112,14.0829014478,3.3398858551,4.4464530631,1.8709628472
1.020000,24.6592301024,4.1681688079,14.5774748118,3.4772427153,4.0110081994,1.8788539217
1.030000,21.3015067877,4.1341569344,15.0703149959,3.4481727669,3.6426228183,2.0858187614
1.040000,19.3680190797,4.3560474714,15.2617499393,3.8090145137,4.0652564029,1.7915922067
1.050000,20.2130413314,4.3385498880,15.2870754426,3.6257876558,4.3416318329,2.0451600992
1.060000,24.2201029643,4.3675225194,15.6291639241,3.6576225159,3.7173649112,2.1009108830
1.070000,26.2129360356,4.2835089564,16.1183604241,3.6861362041,3.9168245556,2.1422580861
1.080000,24.5717183032,4.7864389826,16.1759401472,3.4807292955,3.8337392675,2.0747510315
1.090000,21.7216208531,4.4713491733,16.8454754136,3.7384110320,4.4408112673,2.0075744454
1.100000,21.4780932706,4.8052627500,17.4833402856,3.8345228140,4.6810960729,2.0818197333
1.110000,24.2669563773,4.8416354518,18.0460442699,3.7344782699,4.2369781696,2.3946412143
1.120000,27.8110203486,4.8816907518,17.9254187066,3.9129208480,4.2872228850,2.3147751820
1.130000,27.9371518343,4.8508671585,18.5204273786,3.8414945904,4.8128866987,2.4777256859
1.140000,25.0233524560,4.9872291716,19.3224139240,3.8365006813,5.0876614032,2.3104967745
1.150000,23.7858776351,4.8667450467,19.6531130719,3.8530878125,5.0471944723,2.4064524315
1.160000,24.3405522552,5.1462681841,20.0057619913,4.0234982246,5.1275498238,2.3600735554
1.170000,28.3975394741,4.9059419823,20.4363339504,3.7452394753,5.1480413287,2.5038360053
1.180000,30.9870239256,5.0716946018,21.5059413867,4.1297767533,5.6003882007,2.6127547358
1.190000,29.9528108881,5.0327239337,21.8154894332,3.8620038541,5.9816533488,2.4533117171
1.200000,27.0848211898,5.1768000210,22.7590141146,3.8598641461,5.8146912665,2.4010182033
1.210000,27.2938752227,5.1879698742,23.0637516281,4.0269491427,6.4130588986,2.4696054308
1.220000,30.0789989686,5.2693373538,23.3514227205,4.0251189193,6.4228409054,2.7235114792
1.230000,33.5981774580,5.3949133355,23.6153642987,4.1401347139,6.9482722390,2.6822018703
1.240000,34.4834748464,5.2832764151,24.6979775811,4.0858513772,6.9872069153,2.6928423525
1.250000,33.0267919834,5.3251918390,24.9796263463,4.0562064703,7.5560104257,2.6396933128
1.260000,30.7414237809,5.3869508153,25.4545614992,3.9298970311,7.3343156346,2.5613497881
1.270000,32.6916370021,5.4639339064,26.3046457316,4.1311244139,7.9075087839,2.6936612170
1.280000,36.2663289194,5.5670274711,26.7057834244,3.8615658741,8.9760888223,2.8008525091
1.290000,40.1491486386,5.5103696369,27.1691871200,4.0432192936,9.2255543498,2.6234916090
1.300000,39.8615155643,5.7076474525,27.6981324478,4.0695655456,8.9459075912,2.5239660748
1.310000,36.5087562973,5.5958691662,28.8009334943,3.9592283270,8.9474390258,2.9398279782
1.320000,35.8256865258,5.5581098587,29.1668018716,4.1569685307,9.8600931819,2.6453594714
1.330000,38.4203292843,5.5073655969,29.2273264808,3.8420520283,10.2327708878,2.7879424168
1.340000,42.3964912763,5.5912968889,30.0833152550,4.0067062325,10.7457221674,2.7549463311
1.350000,44.2995835409,5.4997078425,30.5096383213,3.9276716466,10.9733088547,2.8538556763
1.360000,42.8235479626,5.4001267851,31.1562889684,4.0045381788,11.6797102642,2.7191899211
1.370000,40.8996952476,5.5739234522,31.4365320944,3.8212271605,11.3884092952,2.8784922918
1.380000,41.0753078813,5.5158750653,31.7183201798,3.8950737703,12.0881748378,2.7858243983
1.390000,45.0931759266,5.4674106886,32.9258681035,3.8482803861,12.4987083614,2.9178637899
1.400000,48.5228428443,5.1969361073,33.1601898017,3.7278140564,13.1610145397,2.7848235587
1.410000,48.4455663123,5.1814677147,32.9154042337,3.7193222802,13.2356292295,2.8497355588
1.420000,46.1115551839,5.4345688730,33.7555115469,3.7756671925,13.4138258050,2.6912224896
1.430000,44.4971602214,5.6040854063,34.1980063186,3.7988306383,13.8264237036,2.9075504388
1.440000,47.1476919696,5.2493543247,34.3182811054,3.5502844304,14.1722789894,2.7489434395
1.450000,51.5269376095,5.2285737914,34.9292416875,3.5473792793,15.2051784100,2.8609571495
1.460000,53.0499935928,5.2382178504,34.7867750835,3.6066819045,15.1198794524,2.8100213356
1.470000,51.3267910437,5.1506323074,35.2237810717,3.5153670973,15.4440343206,2.7233629032
1.480000,49.1387898738,5.2150131710,35.5792442371,3.6168599779,15.8442313405,2.7987369308
1.490000,49.2836613571,5.2518971602,35.7205524120,3.2956904673,15.8237902432,2.6537065786
1.500000,52.4657634243,5.0381698910,35.8707601023,3.1770666803,16.4865729655,2.5642018805
1.510000,55.7589441982,4.9388753940,36.2055524069,3.3762451677,16.8820371276,2.6596762940
1.520000,55.6421957061,4.9897235161,36.6454921436,3.2123661874,17.0668173827,2.6166601460
1.530000,53.2245173916,4.7939692199,36.6263931215,3.1645699861,17.2944850546,2.4952900615
1.540000,51.4035715991,4.9075274858,36.9218772851,3.2221849223,17.5992080215,2.4755382782
1.550000,53.4620615125,5.0267626970,36.8679213972,3.1668814665,18.1071995391,2.4976006558
1.560000,57.3024096869,4.9914265734,37.3811383384,3.1066100049,17.8412978358,2.3719903092
1.570000,59.6512734085,4.8463048003,36.8625875448,2.9706076018,18.4545967256,2.5302193130
1.580000,57.7597644152,4.6673299061,36.9890692075,3.0530685293,18.3710468027,2.4462056036
1.590000,54.0210820335,4.6894826820,37.1167505753,3.0818495914,18.5720309166,2.5031454220
1.600000,53.9393524545,4.5242239624,36.8140209973,2.9700664416,19.2490548440,2.3720396262
1.610000,57.3949962797,4.3821166987,36.7143938198,2.8773036052,19.0652898196,2.3061455147
1.620000,60.3011406927,4.4042904641,36.9111195419,2.9748419581,19.5078810980,2.2841707254
1.630000,60.3875091996,4.2424588347,36.4298333878,2.8967366285,19.6913101179,2.1322728214
1.640000,57.4688798539,4.2229375425,36.6951036349,2.8283058289,19.3383358188,2.2623639230
1.650000,55.4559325511,4.2190192427,36.8348445073,2.7281016070,19.7017225575,2.2381903849
1.660000,56.0168999598,3.9734035567,36.1116006496,2.7986542320,19.6551695427,2.0168841340
1.670000,59.3273358564,3.9521523046,36.0895743693,2.5804225098,19.6114166430,2.0004501674
1.680000,61.8643143656,3.9081754822,35.6718578930,2.7864535333,20.4058489292,2.2194708241
1.690000,59.5850119356,3.6981738149,35.3805342161,2.5135378547,20.2328665574,2.0004532905
1.700000,55.5433428860,3.8650609237,35.2219718289,2.3787610204,19.8251939049,2.0081334979
1.710000,54.2071228768,3.7787486076,35.1005869677,2.3569695217,19.7224579622,2.0287689327
1.720000,56.5146265865,3.5157857676,34.8631913008,2.7056829552,19.9104698962,1.8150912301
1.730000,59.6568182006,3.9606944624,34.1310015425,2.6682468288,20.0651864774,1.8714842106
1.740000,59.3838517535,3.5667617271,33.8153830983,2.2994406452,19.7842479847,1.9650118658
1.750000,56.8094514710,3.3865607575,33.2921092755,2.3964175560,19.7705387678,1.7721549583
1.760000,53.4673734594,3.4625926990,32.9265930189,2.3736479445,19.9138010259,1.7821840346
1.770000,53.1667394556,3.4095332595,32.3619192746,2.1609889175,19.5492072947,1.7068675415
1.780000,56.0633534259,3.2191508220,32.4647468722,1.9917049525,19.8599794377,1.6734922069
1.790000,58.3521331234,3.1001520496,31.2037630619,2.1821120626,19.3864139527,1.6474611208
1.800000,56.5448935360,3.3445058928,31.0031314750,2.2279389789,19.2411481005,1.6065874339
1.810000,52.3590197601,3.3424420539,30.4801687498,2.1734940907,19.2879808163,1.5588793003
1.820000,50.8506111874,3.1684020076,29.6792763621,2.1873793023,18.7867311987,1.5620088496
1.830000,51.5780706251,3.1039364087,29.5735863022,2.2009885921,19.0266718613,1.5125283481
1.840000,54.6855714634,2.9162954008,29.0652692797,1.9782645351,18.5272162255,1.4123673561
1.850000,55.4312995955,2.9540812605,28.9069073329,2.1657638109,18.7007975371,1.6794483291
1.860000,51.2090751321,2.9140172082,27.9794822400,1.9597252388,18.0314989688,1.2940593248
1.870000,47.1676798158,2.8058155805,27.7273720440,2.0081903803,17.8927328258,1.6881059487
1.880000,46.7294481525,2.7236246973,27.2293767740,1.9408191549,17.5937688305,1.3026871481
1.890000,49.5835267237,2.5239266337,25.8657631618,1.9329291684,17.1099846554,1.4277363495
1.900000,51.2837589715,2.5905870127,25.5347799338,2.0475130450,17.2009152193,1.2527459333
1.910000,49.8747415135,2.6158669721,25.5457168630,1.9155451157,16.6112280010,1.2557607183
1.920000,45.8124317482,2.7937117385,25.0109450785,2.0857032793,16.3071528858,1.2328502920
1.930000,42.7604522373,2.6213430532,24.1601153753,1.9815001132,16.0717793078,1.1662247755
1.940000,42.7229173000,2.3045500697,23.4622424973,1.9276518743,16.0647165454,1.1788685342
1.950000,45.4331683796,2.4431004171,22.7843363697,1.8776162745,15.3937996293,1.3818634590
1.960000,46.6444264112,2.5394606353,22.4269561119,2.0894394376,15.3740682752,1.2613029471
1.970000,42.9810416866,2.3562894918,22.0058471743,1.9061191038,14.7014390238,1.3420510132
1.980000,38.8098505213,2.6385554197,21.1336609947,2.2395588441,14.3500811740,1.1278958708
1.990000,38.2109656012,2.5864158221,20.6107571246,1.9880332057,14.2940770416,1.2207315605
2.000000,39.8645646533,2.4123931193,20.6339579898,2.0149962363,13.5571727605,1.2093298152
2.010000,42.1455997221,2.5335140729,19.9222620782,2.3128585225,13.2185465268,1.2892061467
2.020000,40.7855472608,2.4919774456,18.9768561131,2.1989175423,12.9145327185,1.3216942348
2.030000,36.3053798464,2.5236732407,19.0960696483,2.0565928579,12.7823882277,1.2764740549
2.040000,33.2773116515,2.4625135458,18.6911646986,2.1534263389,12.2565800243,1.2344092778
2.050000,34.4535581999,2.6242938300,17.6881712468,2.1482528021,11.4699174139,1.2112348981
2.060000,36.6937491725,2.5547860230,17.4630511313,2.1311854550,11.6210722600,1.1534356725
2.070000,37.5954026678,2.3591987114,17.8044012692,2.2952525098,11.2311183733,1.0875866954
2.080000,34.5972714398,2.5787795156,16.4599264620,2.4159955716,10.5022273005,1.3225976432
2.090000,30.3053509737,2.6001229215,16.5136640186,2.2528933096,10.5614313290,1.2034812672
2.100000,29.2766768908,2.6503077287,16.1307229096,2.3235360651,9.9013776947,1.2767150875
2.110000,31.2203274164,2.7114886624,15.8566224242,2.4785738446,9.8193622055,1.3675981284
2.120000,32.9678499041,2.7267167542,15.1323183638,2.5039423308,9.0240602920,1.3314568257
2.130000,31.9774597996,2.7399138430,14.8117514119,2.4875605381,9.0016653908,1.2164125595
2.140000,28.6992810285,2.6113551236,15.0436750113,2.3786762997,8.6477774323,1.2646633614
2.150000,25.4048850191,2.8484141269,14.1767069907,2.6327277936,8.4171709065,1.1729441237
2.160000,25.7262410677,2.9796415820,14.3514267404,2.5347301973,7.6232167456,1.4990998511
2.170000,27.9304208625,3.1112743469,13.9325945548,2.3680755927,7.1670972480,1.1966827011
2.180000,30.1172319243,2.9692475044,13.6928528309,2.7408598167,7.4176814159,1.3385522871
2.190000,27.1529075646,2.9992771345,13.0633807027,2.6497753568,6.9928107473,1.3705872343
2.200000,23.3795138237,2.9977192663,13.8960204061,2.6428756212,6.7156027992,1.4181756594
2.210000,21.6179943452,3.1030862685,12.9687523476,2.9816719519,6.2249854124,1.4805886101
2.220000,23.9022756761,3.1446711706,12.8733293091,2.8524948282,5.8719871921,1.4454616224
2.230000,26.2341809353,3.2653507498,13.2839890525,2.9222950959,5.7696331971,1.5521145797
2.240000,26.6185903120,3.3039395080,12.9872622336,2.9655066321,5.7137710105,1.5543958018
2.250000,22.9482717202,3.5592709436,12.8805447800,3.0517123120,5.1184125568,1.7635662313
2.260000,20.5799031590,3.4200231563,12.7787426713,3.0676657657,5.1597397523,1.5966192587
2.270000,20.1203552417,3.4455442237,13.4165889759,3.0881497139,5.0498418676,1.6836993070
2.280000,23.6102270166,3.5974312766,13.3177801773,3.2277952575,5.1946297048,1.8445631623
2.290000,25.7594387820,3.7746507340,13.3531811820,3.2518951826,4.7270792976,1.7050808147
2.300000,24.4422026591,3.7326124391,13.1303155813,3.3750897684,4.3025751387,1.8445104538
2.310000,20.4563604718,3.8568869141,13.5775313529,3.4073287248,4.1290337295,1.5733248317
2.320000,18.6368446206,3.8222614033,13.8801265207,3.2732134596,4.0146508601,1.8009941786
2.330000,21.1394501044,4.0192067633,14.5119614437,3.3988115886,4.1331699233,1.7596666755
2.340000,24.6530977751,3.9892931973,14.1399635039,3.4609030488,4.0932580280,1.8365137778
2.350000,25.3335098486,4.2284629742,14.6778421818,3.1804482158,4.1221733004,1.8258060166
2.360000,23.0194906354,4.2061620521,14.6393785279,3.4215971157,4.2034653297,1.7273319819
2.370000,19.6249072734,4.3792592392,14.7705117744,3.4569368518,3.7795366092,1.9320726137
2.380000,19.2361687874,4.3218556068,15.2669209323,3.6709002421,4.0264625773,2.0138195023
2.390000,22.9670425571,4.5235736955,15.4035149960,3.5521190081,4.1449752545,2.1828676767
2.400000,26.0192779209,4.4550206196,16.1336331179,3.4364634246,3.8022045845,2.0597118992
2.410000,25.0284670667,4.7252489716,16.2509934395,3.8977851955,4.1381171493,2.0355834157
2.420000,21.8491873406,4.6926640148,16.4949544344,3.7283006868,4.0061174696,2.2935072895
2.430000,20.5559819332,4.8585290573,17.1057228795,3.8330574265,4.1859966874,2.0978680433
2.440000,22.3853770363,4.5970713259,17.5456656661,3.7056615091,4.1890081301,2.2727555239
2.450000,26.7357120189,4.9195500310,18.5054456350,3.6764430555,4.6043869422,2.2467370734
2.460000,28.2396636691,4.8850433635,18.3640364666,3.9224437691,4.4641534642,2.3932566394
2.470000,26.3835287463,4.9072236024,19.5074080831,3.8345311650,4.6706879469,2.3779883643
2.480000,23.7954048796,4.9349267711,19.3672145947,3.8142663595,4.9855555158,2.4207374483
2.490000,24.6309940863,4.9966018618,20.0503244003,3.9717358082,5.2194558469,2.3045668292
2.500000,27.1605241389,5.0309652346,20.2592852197,3.9380811995,5.3450355591,2.4633481760
2.510000,31.3446064567,4.9549202155,21.0516060491,3.9302869177,6.0597364947,2.4375903665
2.520000,31.0878452402,5.3301741089,21.2031061498,3.8557076856,5.5363745900,2.3095404818
2.530000,28.3825148542,5.2967838331,21.5326805763,4.2405604343,6.1482522992,2.5262158962
2.540000,26.9125741117,5.0846701291,22.6954914193,3.9019675448,6.4436091251,2.4304357350
2.550000,29.2560280757,5.2320658516,23.4398113843,4.0536097513,6.5638568179,2.7012058135
2.560000,32.8990665825,5.2990760255,23.6729649622,3.9216082242,7.0740843056,2.6330414306
2.570000,35.6306982403,5.4204927549,24.3572905440,4.0407017228,7.3295925787,2.7535047805
2.580000,34.5559094649,5.4417009384,24.6750207635,4.2032258595,7.6680020253,2.5007037194
2.590000,31.4137383389,5.3459883463,25.4286969519,4.1068011785,7.6338421894,2.6747149490
2.600000,31.3842156428,5.1936678124,26.1714423691,4.0591944655,8.2060715789,2.6394382419
2.610000,35.3668826581,5.2934014704,26.5833691752,3.9561216500,8.6046924936,2.7781943740
2.620000,38.3707920000,5.5969005412,27.1146792948,3.9877498261,8.4251004593,2.7444408943
2.630000,40.3161167435,5.5569505330,27.8719873736,3.8724957272,9.1353054083,2.6900809328
2.640000,37.2997988120,5.5814060950,28.4453470037,3.8843940819,9.4295802559,2.6343604107
2.650000,35.3527385475,5.3033028414,28.8393851045,4.1892567248,10.2238577482,2.7718217681
2.660000,37.3225083229,5.7544678370,29.3236812940,3.9597731324,10.2322923112,2.8015103533
2.670000,41.0393829108,5.4594124770,29.3677256083,3.8175070594,10.4754951157,2.6551862139
2.680000,44.8095456056,5.5095594397,30.5870208254,3.7867704585,10.7627622798,2.7515118626
2.690000,43.0188366689,5.4778725254,30.6385759158,3.7100446147,11.2236881967,2.6276998250
2.700000,40.4146036758,5.3932440790,31.1304986141,3.7927556329,11.4727017622,2.7291913897
2.710000,40.8293226174,5.7105478332,31.5584377285,3.7570587320,11.9999036317,2.7610538686
2.720000,43.8826750466,5.7377888373,32.3710656524,3.7049858116,12.5726838622,2.6250750403
2.730000,48.5411277875,5.6021243622,32.6182159796,3.9760169302,12.7345175738,2.7132490892
2.740000,48.9935126643,5.5364979949,33.0711247437,3.6321763963,12.9619025262,2.7076964106
2.750000,46.9183458233,5.4687489075,33.5336674608,3.9315021109,13.3636858408,2.6706821021
2.760000,44.1023853114,5.3239422088,34.5061640774,3.7734323498,13.7441927398,2.8636144405
2.770000,46.2143923507,5.1187905913,34.3282076214,3.3745300851,14.3686402605,2.6460534837
2.780000,49.9189679047,5.1962049170,35.0348017388,3.6396032059,14.5826268778,2.4981941227
2.790000,53.1282497145,5.2174208645,34.9506417743,3.5453536235,15.3714746637,2.7002298875
2.800000,52.2720603723,5.2978005234,35.0760430531,3.4631987228,15.2664428134,2.7606109935
2.810000,49.9052877736,5.2944520927,35.4636286924,3.5543491057,15.4198250802,2.6269970951
2.820000,49.0696337819,5.2247992115,35.8129977298,3.4906784161,16.0127057407,2.5201941241
2.830000,51.2610902885,5.0580069383,35.8724434013,3.3324243363,16.6083101346,2.7228466314
2.840000,55.2384340400,5.0656871335,36.1462346237,3.2415935881,16.6032578516,2.5952586659
2.850000,57.2097881826,4.9711601491,36.2176113056,3.3392634177,16.8924685304,2.7043766660
2.860000,54.5283863510,5.1749743602,36.7259679146,3.2755526476,17.2796150352,2.4329732369
2.870000,51.3579476012,4.7262920460,36.5921879906,3.1221203885,17.7792748811,2.5525488513
2.880000,52.2306697911,4.8707438034,36.7466839871,3.1521471870,18.1003149145,2.5914081927
2.890000,55.2867053736,4.6213914653,36.8682972932,3.1798195718,18.2272940972,2.4267455940
2.900000,59.3464802558,4.4342469760,36.8108690927,2.9989372970,18.5642691232,2.6330691596
2.910000,58.0856556484,4.8007360863,37.3221324786,2.9925370552,18.4211112528,2.4644126591
2.920000,55.3527974165,4.6360392238,36.2931555003,2.8726806369,18.5766839019,2.5899483766
2.930000,53.2977887047,4.3158086719,36.7886483277,3.0675693809,18.8139738821,2.4883491514
2.940000,55.7290704492,4.3722284729,36.9856491666,2.9137148467,19.0320323287,2.4684963022
